"date","close","volume","open","high","low"
"2007/09/24","104.7600","9799.0000","105.1500","105.6880","104.4900"
"2007/09/21","104.8800","2450.0000","104.9400","105.2125","104.7200"
"2007/09/20","104.4500","2314.0000","104.6600","104.9500","104.3000"
"2007/09/19","104.7960","14467.0000","105.3700","105.5240","104.4800"
"2007/09/18","104.3000","19176.0000","102.0100","104.3000","101.6740"
"2007/09/17","101.6600","7772.0000","102.0000","102.0000","101.4801"
"2007/09/14","102.3780","10494.0000","101.5000","102.3780","101.3340"
"2007/09/13","102.2920","22104.0000","103.2800","103.2800","101.9200"
"2007/09/12","101.9300","9178.0000","102.2000","102.6900","101.8700"
"2007/09/11","102.1020","14236.0000","101.5500","102.1020","101.2600"
"2007/09/10","100.8960","10069.0000","101.7599","101.7599","99.9760"
"2007/09/07","100.9200","14617.0000","101.7200","101.7200","100.6040"
"2007/09/06","102.8420","14099.0000","103.3100","103.3100","102.3400"
"2007/09/05","102.6800","6557.0000","103.0000","103.0000","102.4100"
"2007/09/04","103.4820","24803.0000","102.5000","104.0500","102.0900"
"2007/08/31","102.3260","18005.0000","102.8400","102.8400","101.5080"
"2007/08/30","100.9800","24934.0000","99.8100","101.7400","99.8100"
"2007/08/29","100.7200","21860.0000","99.1200","100.8000","98.9200"
"2007/08/28","98.4000","7108.0000","100.2500","100.2500","98.4000"
"2007/08/27","100.6800","15266.0000","101.6300","101.6300","100.5400"
"2007/08/24","101.3500","8755.0000","99.6300","101.3500","99.6300"
"2007/08/23","99.9200","7065.0000","100.7000","100.7000","99.6300"
"2007/08/22","100.3300","31992.0000","100.4100","100.4500","99.6500"
"2007/08/21","99.1000","8812.0000","98.6800","99.3100","98.4800"
"2007/08/20","98.5960","16251.0000","99.5000","99.5000","97.9030"
"2007/08/17","98.2400","54073.0000","98.9000","100.7000","97.3700"
"2007/08/16","96.4140","76551.0000","96.0000","96.4140","93.1500"
"2007/08/15","96.6500","13766.0000","97.8500","98.9800","96.6500"
"2007/08/14","98.3530","25365.0000","100.6400","100.6400","98.3530"
"2007/08/13","100.1600","4750.0000","100.7000","101.2000","100.1500"
"2007/08/10","100.0060","12997.0000","99.8300","101.1100","98.4801"
"2007/08/09","100.6800","19425.0000","101.4400","102.7560","100.6800"
"2007/08/08","102.5700","24194.0000","101.0500","103.2000","101.0500"
"2007/08/07","100.7600","7295.0000","99.5020","100.9800","99.3000"
"2007/08/06","99.9920","34978.0000","98.8700","100.0700","97.9000"
"2007/08/03","98.7000","15267.0000","101.2000","101.2000","98.7000"
"2007/08/02","101.2000","19274.0000","100.4100","101.2000","100.1000"
"2007/08/01","100.3600","27847.0000","99.2600","100.3600","98.8900"
"2007/07/31","99.8900","17381.0000","102.5300","102.5300","99.8900"
"2007/07/30","101.2800","18454.0000","101.1200","101.7200","100.0900"
"2007/07/27","100.8500","14091.0000","102.3900","102.4040","100.8500"
"2007/07/26","102.1600","40025.0000","102.5700","103.5200","100.7620"
"2007/07/25","104.0300","259097.0000","104.8700","104.8700","103.1900"
"2007/07/24","103.6730","30075.0000","105.0000","105.2000","103.3900"
